Year,France
1960,1334.689512
1961,1428.046001
1962,1578.284538
1963,1744.640123
1964,1909.54162
1965,2038.163102
1966,2186.474592
1967,2343.104503
1968,2536.085114
1969,2752.095114
1970,2857.251682
1971,3169.036323
1972,3854.555835
1973,4969.762978
1974,5328.241548
1975,6690.57827
1976,6866.816892
1977,7532.52696
1978,9264.775293
1979,11179.6329
1980,12713.36517
1981,11104.98134
1982,10496.92855
1983,9993.421182
1984,9419.696143
1985,9763.327404
1986,13540.24637
1987,16302.44738
1988,17679.99669
1989,17694.30932
1990,21793.83554
1991,21675.06499
1992,23813.71225
1993,22380.10775
1994,23496.52015
1995,26890.21762
1996,26871.83127
1997,24228.94639
1998,24974.27386
1999,24673.20305
2000,22364.02939
2001,22433.55498
2002,24177.33556
2003,29568.3888
2004,33741.26192
2005,34760.18502
2006,36443.62631
2007,41508.43269
2008,45334.11796
2009,41575.42196
2010,40638.33525
2011,43790.72602
2012,40874.70039
2013,42592.93539
2014,43011.2631
2015,36638.18493
2016,37037.37419
2017,38685.25849
2018,41572.48501
2019,40578.64429
2020,39030.36037
